Chrom	p_chromStart	p_chromEnd	p_first_name	p_last_name	q_chromStart	q_chromEnd	q_first_name	q_last_name
1	724231	120531650	p36.33	p12	146492595	249224057	q21.1	q44
2	11533	89028798	p25.3	p11.2	95326793	243049072	q11.1	q37.3
3	61435	89796694	p26.3	p11.1	93569192	197853921	q11.1	q29
4	28441	49158780	p16.3	p11	52681027	191033111	q11	q35.2
5	13245	46405153	p15.33	p11	49441671	180715318	q11.1	q35.3
6	202776	57597487	p25.3	p11.2	62235862	170919484	q11.1	q27
7	41557	56375450	p22.3	p11.2	62413367	159124446	q11.21	q36.3
8	162525	43822043	p23.3	p11.1	47516928	146303573	q11.1	q24.3
9	112121	44906535	p24.3	p11.2	66456110	141075761	q13	q34.3
10	93295	39154046	p15.3	p11.1	42355629	135436071	q11.21	q26.3
11	189644	48368875	p15.5	p11.2	55388937	134945295	q11	q25
12	81052	34286797	p13.33	p11.1	38624543	133838608	q12	q24.33
13	NA	NA	NA	NA	19202565	115108140	q11	q34
14	NA	NA	NA	NA	19001869	107288228	q11.1	q32.33
15	NA	NA	NA	NA	20002096	102401120	q11.1	q26.3
16	84117	31949286	p13.3	p11.2	46496897	90163568	q11.2	q24.3
17	1	20224050	p13.3	p11.2	25263961	81152175	q11.1	q25.3
18	11716	15404720	p11.32	p11.1	18512545	78016687	q11.1	q23
19	245043	24381390	p13.3	p12	28092678	59097305	q11	q13.43
20	61001	25690843	p13	p11.1	29804760	62956086	q11.21	q13.33
21	9413344	11187730	p11.2	p11.1	14339854	48100164	q11.2	q22.3
22	NA	NA	NA	NA	16848812	51187937	q11.1	q13.33
X	61132	58351340	p22.33	p11.1	63357997	155236200	q11.2	q28
Y	2650701	9172568	p11.31	p11.2	13879533	24006708	q11.21	q11.223
