Chrom	p_chromStart	p_chromEnd	p_first_name	p_last_name	q_chromStart	q_chromEnd	q_first_name	q_last_name
1	3301463	120540205	p36.32	p12	149876316	247784114	q21.2	q44
2	494820	89050652	p25.3	p11.2	95510875	242448123	q11.1	q37.3
3	2860920	89528902	p26.2	p11.1	93732979	197896973	q11.1	q29
4	1066412	48076320	p16.3	p12	52709159	187631231	q12	q35.2
5	914330	45353598	p15.33	p12	50122339	180338864	q11.1	q35.3
6	1311684	57191111	p25.3	p11.2	62390618	170893919	q11.1	q27
7	31195	57207573	p22.3	p11.2	63459090	158380611	q11.21	q36.3
8	614353	42932757	p23.3	p11.21	48000874	145235676	q11.1	q24.3
9	14557	38704246	p24.3	p13.1	71044353	141124506	q21.11	q34.3
10	411977	38435998	p15.3	p11.1	43069839	135216527	q11.21	q26.3
11	179959	50004287	p15.5	p11.12	56019426	134135978	q12.1	q25
12	922558	33049669	p13.33	p11.21	39222931	133811192	q12	q24.33
13	NA	NA	NA	NA	19747753	114988243	q12.11	q34
14	NA	NA	NA	NA	20501753	105996381	q11.2	q32.33
15	NA	NA	NA	NA	23684440	101872486	q11.2	q26.3
16	666958	31820415	p13.3	p11.2	46615391	89383677	q11.2	q24.3
17	972959	21191653	p13.3	p11.2	25621172	81052570	q11.1	q25.3
18	331418	14543395	p11.32	p11.21	18690529	77108446	q11.1	q23
19	281138	24010333	p13.3	p12	29698205	58880949	q12	q13.43
20	454283	25756202	p13	p11.1	29845217	62203988	q11.21	q13.33
21	NA	NA	NA	NA	15481030	47687306	q11.2	q22.3
22	NA	NA	NA	NA	17443373	49246974	q11.1	q13.32
X	3227507	57937104	p22.33	p11.21	62569699	155239820	q11.1	q28
Y	2654780	9306705	p11.31	p11.2	14821131	25376066	q11.21	q11.223
